"Country","Index.Year","capi","art","capcorr","labor","gdp","Overall.Score"
"Bolivia",2022,7411898808.47643,6569575,16.8420540947493,188.02,3643.92826968677,"43"
"Colombia",1996,20981071701.6079,16380472,21.5958207070305,362.45,2664.45625558215,"64.3"
"Colombia",1997,21550606271.1816,16820298,20.2056206872574,406.22,2873.20018821653,"66.4"
"Colombia",1998,18649830545.1102,17194464,18.9364606568743,394.84,2605.99938059023,"65.5"
"Colombia",1999,11430109256.195,17422434,13.2478542787631,463.17,2243.64204956242,"65.3"
"Colombia",2000,14111663054.2082,17848151,14.1293141067755,535.48,2555.00751039968,"63.3"
"Colombia",2001,15122440463.1986,18236154,15.3995333206406,533.64,2472.99084035833,"65.6"
"Colombia",2002,16381727946.8917,18340323,16.725296853536,680.85,2428.92969771584,"64.2"
"Colombia",2003,17139967775.4219,18966234,18.1097505002846,713.03,2311.94218760291,"64.2"
"Colombia",2004,22050562423.9691,19153768,18.8317596064491,858.09,2818.57195413044,"61.2"
"Colombia",2005,30512271667.6977,19163184,20.9561543150332,988.47,3456.06610874512,"59.6"
"Colombia",2006,36528956615.6707,19349955,22.5775935262733,1449.56,3789.85361217027,"60.4"
"Colombia",2007,49654661605.6493,19533984,24.0773758127074,1562.09,4769.926147194,"59.9"
"Colombia",2008,53141828498.0059,20022584,21.9137810195697,2357.93,5541.83629665898,"62.2"
"Colombia",2009,52646499704.169,21321685,22.6467081627038,2705.91,5250.97292433518,"62.3"
"Colombia",2010,63152795093.2005,21788403,22.0429732014851,3169.79,6398.2958447102,"65.5"
"Colombia",2011,73410593325.5633,22348779,21.9158254216725,3541.93,7400.9940695669,"68"
"Colombia",2012,78309280514.8077,22946523,21.1252094876723,4076.94,8108.59838244229,"68"
"Colombia",2013,81532670374.7402,23081167,21.3383970995375,4525.2,8279.10255642981,"69.6"
"Colombia",2014,86429247840.5681,23376219,22.6705098813348,4993.33,8187.20824890084,"70.7"
"Colombia",2015,68603201437.9211,23770146,23.3747819041323,5383.5,6248.51490534512,"71.7"
"Colombia",2016,62564990483.6094,23971867,22.1296577145622,6417.19,5959.84250367574,"70.8"
"Colombia",2017,67746192353.0109,24367946,21.7227919184852,6701.16,6479.53231292429,"69.7"
"Colombia",2018,70943166882.8459,24727292,21.2278710779912,7531.98,6816.96818309544,"68.9"
"Colombia",2019,68705959026.0682,25000012,21.269107264817,8752.82,6472.54544924705,"67.3"
"Colombia",2020,49641567077.6139,25151123,18.3620756136132,9599.78,5339.68711357943,"69.2"
"Colombia",2021,60486974112.4444,25915910,18.9897319714179,10300.11,6222.62164397614,"68.1"
"Colombia",2022,65729614069.0848,25830229,19.0338626376131,9683.4,6674.59601948063,"65.1"
"Ecuador",1996,3318361180.59029,4740530,13.1543227552553,56.78,2135.8479374308,"60.1"
"Ecuador",1997,3766964482.24112,4912617,13.3760293636785,99.62,2340.76600026857,"61"
"Ecuador",1998,4165219609.8049,5196031,14.8854082962092,94.52,2284.01572847769,"62.8"
"Ecuador",1999,2512460230.11506,5202562,12.7891339388708,66.82,1575.30234730971,"62.9"
"Ecuador",2000,2632826413.2066,5202036,15.0108794950112,73.7,1382.23421759909,"59.8"
"Ecuador",2001,3537750000,5375291,15.2970190108511,60.41,1791.30359685037,"55.1"
"Ecuador",2002,4523192000,5554493,16.7190029702231,91.3,2059.1585535974,"53.1"
"Ecuador",2003,4779965000,5740735,15.4365667429071,98.81,2315.62215223014,"54.1"
"Ecuador",2004,5550229000,6069723,15.7699598183796,93.53,2586.20914663347,"54.4"
"Ecuador",2005,6563549000,6169877,16.2952744751966,133.34,2909.02606014388,"52.9"
"Ecuador",2006,7574310000,6409972,16.5773335099992,135.16,3243.67010359339,"54.6"
"Ecuador",2007,8208248000,6449993,16.4663148355349,143.06,3478.92488770671,"55.3"
"Ecuador",2008,10660480000,6581958,17.4363395358655,154.2,4194.75750661981,"55.2"
"Ecuador",2009,10901921000,6478792,18.1411514952214,180.38,4053.36331139298,"52.5"
"Ecuador",2010,13434516000,6489520,19.7127718521821,192.46,4520.30959039763,"49.3"
"Ecuador",2011,16540608000,6540161,20.9410177780933,171.31,5153.6916424375,"47.1"
"Ecuador",2012,19424182000,6757347,22.1395923781794,244.88,5634.08393191094,"48.3"
"Ecuador",2013,23104787000,6882742,23.9253464733797,261.98,6109.29031510341,"46.9"
"Ecuador",2014,24122133000,7072058,23.4838892665471,406.82,6405.79979300441,"48"
"Ecuador",2015,21912497000,7577726,22.5415046121288,657.3,5976.1596805651,"49.2"
"Ecuador",2016,20232475000,7985502,20.7148337835895,1152.65,5917.63771271481,"48.6"
"Ecuador",2017,22420006000,8229598,21.4612286161457,1599.51,6233.32244797718,"49.3"
"Ecuador",2018,22558138000,8251116,20.9884219015811,2166.56,6303.91892523596,"48.5"
"Ecuador",2019,22223842000,8393240,20.6549289192242,2457.62,6205.05759479761,"46.9"
"Ecuador",2020,17251416000,7739432,17.9954426135825,2930.96,5463.64509649315,"51.3"
"Ecuador",2021,20493163000,8506635,19.0749231947946,3095.23,6075.8026572556,"52.4"
"Ecuador",2022,23466912000,8627291,20.128399720862,3573.97,6540.99824522101,"54.3"
"Guatemala",1996,2089446053.32283,3669416,13.3299391751292,42.21,1481.05986750672,"63.7"
"Guatemala",1997,2688527301.81242,3781378,15.1125539013878,30.84,1638.46281851789,"65.7"
"Guatemala",1998,3228631896.65958,3901813,16.6463005827635,29.89,1741.20114182856,"65.8"
"Guatemala",1999,3277498977.69894,4022629,17.8918289026652,29.73,1603.64776144934,"66.2"
"Guatemala",2000,3110457959.18904,4138380,16.125612543564,24.13,1648.96578971559,"64.3"
"Guatemala",2001,3423727415.3274,4251037,18.6019366750223,23.84,1537.68663578252,"65.1"
"Guatemala",2002,4011111817.12415,4376265,19.6197975058803,23.92,1669.33517469705,"62.3"
"Guatemala",2003,4091219773.5773,4505895,18.9615918933206,26.71,1722.54701910774,"62.3"
"Guatemala",2004,4394869361.2883,4644836,18.6402587083727,28.55,1840.91184884,"59.6"
"Guatemala",2005,4979003029.10265,4752203,18.5898915722087,46.75,2046.46611650758,"59.5"
"Guatemala",2006,6078783068.65084,4861711,20.4368364207337,36.47,2225.1234753878,"59.1"
"Guatemala",2007,6681977672.19962,4974966,19.9058846728475,32.06,2458.81573919384,"60.5"
"Guatemala",2008,7018013570.84921,5089817,18.2268454319826,36.23,2763.05988172926,"59.8"
"Guatemala",2009,5709111768.5294,5205293,15.377603213332,55.78,2611.64632773352,"59.4"
"Guatemala",2010,6121352803.39935,5323128,15.0488390141114,52,2805.25960237322,"61"
"Guatemala",2011,7052924685.61097,5569717,15.0459163364946,44.39,3168.98370607705,"61.9"
"Guatemala",2012,7452442534.43976,6083825,15.0269248908262,67.55,3286.61959336267,"60.9"
