"Country","Index.Year","capi","art","capcorr","labor","gdp","Overall.Score"
"Bolivia",1996,16.1763687426656,28.73,1196557766.38687,3436412,922.113259069714,"65.2"
"Bolivia",1997,18.9689513481554,39.32,1503429161.64376,3529691,970.351843368594,"65.1"
"Bolivia",1998,23.1532159881584,39.05,1967443290.38882,3599373,1022.14506519545,"68.8"
"Bolivia",1999,19.0973226968185,53.82,1582225490.70884,3669870,979.344494964572,"65.6"
"Bolivia",2000,17.8874789626329,37.82,1502164633.15039,3741182,975.777060358751,"65"
"Bolivia",2001,13.9267732202243,42.27,1133850599.30373,3814211,930.168227214313,"68"
"Bolivia",2002,15.6496469618393,46.61,1237180516.03905,3888572,888.221328974352,"65.1"
"Bolivia",2003,12.6639226700099,50.8,1023548840.23289,3965089,893.013760211149,"64.3"
"Bolivia",2004,11.6871210206907,46.6,1025363923.89113,4045470,953.191893246277,"64.5"
"Bolivia",2005,12.990846906531,63.68,1240511937.54772,4128982,1020.12326200737,"58.4"
"Bolivia",2006,14.296679671822,69.72,1637233582.18447,4215393,1202.71150446327,"57.8"
"Bolivia",2007,16.1395936873294,85.95,2117532123.88608,4303228,1354.54905949929,"54.2"
"Bolivia",2008,17.2487171462335,93.85,2876098752.73561,4391153,1692.67248455876,"53.1"
"Bolivia",2009,16.4792607960079,85.38,2857502535.61254,4479358,1731.18172112209,"53.6"
"Bolivia",2010,16.5722453451651,79.43,3256400424.87409,4567789,1929.78373077158,"49.4"
"Bolivia",2011,18.9656256308952,82.48,4544764105.67046,4656827,2315.52121930607,"50"
"Bolivia",2012,18.3628772434261,86.1,4973493024.60203,4745827,2575.59857098084,"50.2"
"Bolivia",2013,19.0600818282013,90.53,5843695079.59479,4834468,2870.02377000756,"47.9"
"Bolivia",2014,20.9820496067281,89.46,6923276537.1246,4923514,3041.43503118107,"48.4"
"Bolivia",2015,21.3710596050816,89.18,7052492037.40278,5012373,2996.01289804214,"46.8"
"Bolivia",2016,20.6704841909623,92.83,7015795125.41811,5100033,3035.8734778704,"47.4"
"Bolivia",2017,21.2683553345557,92.6,7977471296.89077,5298716,3306.30301176558,"47.7"
"Bolivia",2018,20.1660892375308,110.67,8124443033.36206,5649910,3500.72642189371,"44.1"
"Bolivia",2019,18.9752599507414,134.03,7759993817.30317,5946418,3503.8960106182,"42.3"
"Bolivia",2020,15.5721386772855,178.44,5704050074.59101,5939447,3099.94219044572,"42.8"
"Bolivia",2021,16.6303111705085,176.29,6719662106.8115,6426918,3384.84486479247,"42.7"
"Bolivia",2022,16.8420540947493,188.02,7411898808.47643,6569575,3643.92826968677,"43"
"Colombia",1996,21.5958207070305,362.45,20981071701.6079,16380472,2664.45625558215,"64.3"
"Colombia",1997,20.2056206872574,406.22,21550606271.1816,16820298,2873.20018821653,"66.4"
"Colombia",1998,18.9364606568743,394.84,18649830545.1102,17194464,2605.99938059023,"65.5"
"Colombia",1999,13.2478542787631,463.17,11430109256.195,17422434,2243.64204956242,"65.3"
"Colombia",2000,14.1293141067755,535.48,14111663054.2082,17848151,2555.00751039968,"63.3"
"Colombia",2001,15.3995333206406,533.64,15122440463.1986,18236154,2472.99084035833,"65.6"
"Colombia",2002,16.725296853536,680.85,16381727946.8917,18340323,2428.92969771584,"64.2"
"Colombia",2003,18.1097505002846,713.03,17139967775.4219,18966234,2311.94218760291,"64.2"
"Colombia",2004,18.8317596064491,858.09,22050562423.9691,19153768,2818.57195413044,"61.2"
"Colombia",2005,20.9561543150332,988.47,30512271667.6977,19163184,3456.06610874512,"59.6"
"Colombia",2006,22.5775935262733,1449.56,36528956615.6707,19349955,3789.85361217027,"60.4"
"Colombia",2007,24.0773758127074,1562.09,49654661605.6493,19533984,4769.926147194,"59.9"
"Colombia",2008,21.9137810195697,2357.93,53141828498.0059,20022584,5541.83629665898,"62.2"
"Colombia",2009,22.6467081627038,2705.91,52646499704.169,21321685,5250.97292433518,"62.3"
"Colombia",2010,22.0429732014851,3169.79,63152795093.2005,21788403,6398.2958447102,"65.5"
"Colombia",2011,21.9158254216725,3541.93,73410593325.5633,22348779,7400.9940695669,"68"
"Colombia",2012,21.1252094876723,4076.94,78309280514.8077,22946523,8108.59838244229,"68"
"Colombia",2013,21.3383970995375,4525.2,81532670374.7402,23081167,8279.10255642981,"69.6"
"Colombia",2014,22.6705098813348,4993.33,86429247840.5681,23376219,8187.20824890084,"70.7"
"Colombia",2015,23.3747819041323,5383.5,68603201437.9211,23770146,6248.51490534512,"71.7"
"Colombia",2016,22.1296577145622,6417.19,62564990483.6094,23971867,5959.84250367574,"70.8"
"Colombia",2017,21.7227919184852,6701.16,67746192353.0109,24367946,6479.53231292429,"69.7"
"Colombia",2018,21.2278710779912,7531.98,70943166882.8459,24727292,6816.96818309544,"68.9"
"Colombia",2019,21.269107264817,8752.82,68705959026.0682,25000012,6472.54544924705,"67.3"
"Colombia",2020,18.3620756136132,9599.78,49641567077.6139,25151123,5339.68711357943,"69.2"
"Colombia",2021,18.9897319714179,10300.11,60486974112.4444,25915910,6222.62164397614,"68.1"
